RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15588012,Garcia,469,France,Male,26,1,159529.96,2,1,0,10533.68,0
2,15759181,Arslan,759,France,Female,51,9,140777.85,2,1,0,46679.72,0
3,15729336,Hsia,764,France,Male,40,10,0.0,1,0,1,189163.84,0
4,15675415,Schmidt,604,France,Female,32,0,99904.04,2,1,1,150693.33,0
5,15673950,Smith,700,Spain,Female,45,10,147915.36,2,0,1,156830.95,1
6,15780341,Hooper,629,France,Male,34,8,139803.02,2,0,1,178665.14,0
7,15587186,Muller,673,France,Female,19,3,0.0,2,1,1,66247.65,0
8,15740035,Aydin,540,Spain,Female,18,6,119879.75,3,0,0,122633.39,1
9,15616066,Greco,710,Spain,Male,38,0,112205.52,1,1,0,134438.38,1
10,15589244,Kaya,492,France,Male,38,7,130274.96,2,1,0,130087.34,0
11,15697314,Schmidt,474,France,Female,46,3,78775.05,2,0,0,40330.14,0
12,15809595,Wilson,638,Spain,Male,42,2,0.0,1,0,1,11569.57,0
13,15749630,Schmidt,630,Germany,Male,33,8,178776.79,2,1,0,72912.03,0
14,15755977,Hooper,676,Spain,Male,36,8,0.0,2,0,1,182795.55,0
15,15745062,Fischer,588,France,Male,37,3,0.0,1,1,0,127191.16,0
16,15762208,Schmidt,831,Spain,Female,52,1,113905.19,3,1,0,74162.81,1
17,15694001,Onio,665,France,Female,47,8,165084.12,1,1,1,74308.9,0
18,15597727,Weber,672,France,Female,23,9,84460.79,1,0,1,119706.99,0
19,15775628,Howells,669,Spain,Male,60,9,0.0,1,1,1,190319.31,0
20,15678292,Martin,746,Germany,Female,66,4,108009.08,1,0,0,58636.01,1
21,15690783,Arslan,705,France,Male,34,5,100503.17,1,1,1,84200.76,0
22,15658396,Dogan,692,France,Male,45,1,0.0,2,1,0,199257.54,0
23,15611336,Bianchi,721,Spain,Male,81,3,0.0,2,1,0,108688.79,1
24,15797382,Chien,475,France,Male,38,7,0.0,2,1,0,99773.28,1
25,15761084,Sahin,478,France,Female,41,8,80194.74,1,1,0,131770.97,0
26,15726660,Arslan,643,France,Male,48,4,0.0,2,1,1,151690.51,0
27,15666300,Conti,631,France,Male,57,10,0.0,1,1,1,75644.08,0
28,15771382,Wagner,706,Spain,Male,21,2,134978.82,2,1,1,167909.55,0
29,15702052,Hooper,652,France,Female,38,7,0.0,1,0,0,47497.84,1
30,15676549,Ozturk,706,Germany,Male,57,7,92605.02,1,0,0,15542.34,0
31,15678310,Demir,530,Germany,Female,48,6,117577.01,1,0,0,108561.46,1
32,15622508,Brown,649,France,Male,43,3,158037.03,2,1,1,119202.07,0
33,15588733,Kent,521,Germany,Male,41,7,137850.46,2,0,0,61760.22,0
34,15704341,Hsia,687,France,Male,56,2,65807.28,1,1,1,56901.26,0
35,15787663,Cameron,470,Spain,Male,46,9,88440.1,1,1,1,93782.34,0
36,15581654,Taylor,683,Spain,Male,64,6,116073.67,2,1,0,97553.08,0
37,15780264,Taylor,509,Spain,Male,36,4,0.0,2,1,1,157976.0,0
38,15772599,Bianchi,613,France,Male,18,3,159269.9,1,1,0,127099.99,0
39,15634887,Conti,736,Spain,Male,54,1,119696.51,2,1,1,167485.57,1
40,15723610,Wilson,672,Germany,Male,35,0,136176.29,2,1,0,137702.36,0
41,15607006,Romano,492,France,Female,39,3,0.0,1,1,1,45334.01,1
42,15755214,Lombardo,585,France,Male,42,2,108073.71,1,1,1,165841.03,0
43,15740824,Miller,506,France,Female,33,7,140966.29,2,0,0,46340.44,1
44,15654328,Onio,487,France,Male,25,4,176654.96,2,1,0,114604.23,0
45,15582680,Chien,661,France,Male,53,1,79810.68,2,1,1,48078.47,0
46,15808364,Pirozzi,704,Spain,Male,18,6,114850.94,1,0,0,103213.9,0
47,15677117,Moore,692,Spain,Female,73,6,0.0,2,1,1,77089.42,0
48,15788971,Muller,708,France,Male,39,5,113884.02,1,1,1,103656.49,0
49,15735173,Jones,649,Spain,Female,18,7,151250.42,1,1,1,99776.87,0
50,15760288,Muller,624,Germany,Female,55,10,0.0,2,0,0,84342.86,0
51,15755667,Garcia,547,France,Female,21,6,0.0,2,1,1,156801.67,0
52,15614358,Bianchi,608,Spain,Male,32,3,0.0,1,1,1,157087.62,0
53,15656673,Cameron,523,Germany,Male,67,6,198024.38,2,1,0,84086.14,0
54,15682376,Wilson,569,Germany,Male,45,9,0.0,2,1,1,170328.01,0
55,15690143,Wilson,659,France,Female,43,7,103472.08,1,0,1,72939.1,0
56,15576651,Jones,639,France,Female,45,5,0.0,1,1,0,115416.86,0
57,15702337,Wagner,850,Spain,Male,29,1,75936.8,2,1,1,22453.43,0
58,15604271,Romano,521,France,Male,18,7,133142.16,2,1,1,168043.5,0
59,15751536,Hsia,638,France,Male,46,8,139430.97,2,1,0,34443.52,0
60,15736455,Kaya,513,France,Female,44,5,0.0,2,1,1,125273.95,0
61,15796322,Celik,613,France,Male,37,6,0.0,1,1,1,188509.08,0
62,15751883,Yilmaz,617,France,Female,60,1,0.0,2,0,0,68155.41,0
63,15657357,Kent,731,Spain,Male,50,10,115023.02,2,0,1,42292.6,0
64,15807567,Kent,607,France,Female,26,4,0.0,3,1,0,108511.63,0
65,15668409,Demir,632,Spain,Male,34,9,105852.45,2,1,1,170133.87,0
66,15647153,Kaya,609,Germany,Male,32,7,103100.32,1,0,0,177870.26,0
67,15792074,Cameron,515,Germany,Female,29,7,0.0,1,0,1,45131.97,0
68,15658311,Hsia,587,France,Female,57,3,96073.12,2,1,1,194626.0,1
69,15584785,Jones,613,France,Male,34,2,85624.01,2,1,0,117017.53,0
70,15683084,Bianchi,657,Spain,Female,50,3,0.0,2,0,1,128547.34,1
71,15764612,Dogan,704,Spain,Male,46,2,0.0,1,1,0,49793.72,0
72,15613066,Ozturk,627,France,Male,26,7,0.0,1,0,1,71409.26,0
73,15681431,Miller,626,Spain,Male,57,1,138610.25,2,0,1,21969.83,0
74,15598179,Pirozzi,485,Spain,Male,38,8,0.0,1,1,0,149523.84,0
75,15737313,Hooper,702,France,Female,34,1,134928.12,1,0,0,70760.88,1
76,15684621,Ozturk,583,Germany,Male,24,5,170805.66,1,1,1,122175.42,1
77,15648246,Ferri,722,Spain,Male,29,3,130813.18,1,1,1,154649.33,0
78,15622425,Pirozzi,776,Spain,Female,27,8,0.0,1,1,1,120833.3,0
79,15706819,Conti,632,France,Male,22,3,136015.07,1,0,0,33200.81,0
80,15733147,Hooper,552,France,Male,45,9,0.0,3,1,0,25129.55,1
81,15800767,Yildiz,648,France,Male,28,9,124104.19,2,1,1,88873.97,0
82,15674984,Dogan,683,France,Female,40,5,91015.78,2,1,0,86590.24,1
83,15605871,Arslan,620,France,Male,55,0,97137.85,1,1,0,66221.78,1
84,15773861,Aydin,596,Germany,Female,48,7,105811.3,2,1,1,11513.31,0
85,15723135,Ozturk,704,Germany,Female,42,7,96658.44,1,0,0,36533.85,1
86,15740759,Jones,698,France,Female,19,0,0.0,1,1,1,107077.83,0
87,15590006,Ferri,617,Germany,Female,22,6,99484.34,2,0,1,189117.24,0
88,15643789,Davis,491,France,Female,31,0,169103.35,2,0,0,45201.92,0
